Second,Rate
2011-08-10 04:01:40,1
2011-08-10 04:01:49,1
2011-08-10 04:02:30,2
2011-08-10 04:02:31,1
2011-08-10 04:02:32,1
2011-08-10 04:02:33,1
2011-08-10 04:02:39,1
2011-08-10 04:04:20,2
2011-08-10 04:04:21,2
2011-08-10 04:04:22,2
2011-08-10 04:04:23,4
2011-08-10 04:04:24,10
2011-08-10 04:04:25,6
2011-08-10 04:04:26,18
2011-08-10 04:04:27,2
2011-08-10 04:04:28,2
2011-08-10 04:04:29,2
2011-08-10 04:04:30,4
2011-08-10 04:04:31,2
2011-08-10 04:04:32,4
2011-08-10 04:04:33,4
2011-08-10 04:04:34,4
2011-08-10 04:04:35,2
2011-08-10 04:04:36,4
2011-08-10 04:04:41,2
2011-08-10 04:04:44,2
2011-08-10 04:04:47,2
2011-08-10 04:06:11,3
2011-08-10 04:06:22,2
2011-08-10 04:06:23,11
2011-08-10 04:06:24,1
2011-08-10 04:06:26,3
2011-08-10 04:06:33,2
2011-08-10 04:06:34,4
2011-08-10 04:06:35,2
2011-08-10 04:06:36,44
2011-08-10 04:06:37,2
2011-08-10 04:06:38,10
2011-08-10 04:06:39,24
2011-08-10 04:06:40,62
2011-08-10 04:06:41,2
2011-08-10 04:06:42,8
2011-08-10 04:06:43,15
2011-08-10 04:06:44,17
2011-08-10 04:06:45,50
2011-08-10 04:06:46,78
2011-08-10 04:06:47,23
2011-08-10 04:06:49,12
2011-08-10 04:06:50,15
2011-08-10 04:06:51,68
2011-08-10 04:06:52,54
2011-08-10 04:06:53,42
2011-08-10 04:06:54,40
2011-08-10 04:06:55,48
2011-08-10 04:06:56,24
2011-08-10 04:06:57,95
2011-08-10 04:06:58,19
2011-08-10 04:06:59,14
2011-08-10 04:07:00,7
2011-08-10 04:07:01,16
2011-08-10 04:07:02,19
2011-08-10 04:07:04,2
2011-08-10 04:07:05,5
2011-08-10 04:07:11,6
2011-08-10 04:07:12,2
2011-08-10 04:07:13,15
2011-08-10 04:07:16,7
2011-08-10 04:07:17,25
2011-08-10 04:07:20,26
2011-08-10 04:07:21,7
2011-08-10 04:07:22,6
2011-08-10 04:07:23,6
2011-08-10 04:07:24,10
