Second,Rate
04/01/2016 00:00,6
04/01/2016 00:05,9
04/01/2016 00:10,59
04/01/2016 00:15,86
04/01/2016 00:20,10
04/01/2016 00:25,72
04/01/2016 00:30,66
04/01/2016 00:35,17
04/01/2016 00:40,40
04/01/2016 00:45,48
04/01/2016 00:50,92
04/01/2016 00:55,57
04/01/2016 01:00,18
04/01/2016 01:05,83
04/01/2016 01:10,78
04/01/2016 01:15,67
04/01/2016 01:20,11
04/01/2016 01:25,73
04/01/2016 01:30,67
04/01/2016 01:35,40
04/01/2016 01:40,9
04/01/2016 01:45,18
04/01/2016 01:50,82
04/01/2016 01:55,60
04/01/2016 02:00,50
04/01/2016 02:05,22
04/01/2016 02:10,92
04/01/2016 02:15,14
04/01/2016 02:20,47
04/01/2016 02:25,61
04/01/2016 02:30,50
04/01/2016 02:35,66
04/01/2016 02:40,92
04/01/2016 02:45,12
04/01/2016 02:50,96
04/01/2016 02:55,47
04/01/2016 03:00,70
04/01/2016 03:05,9
04/01/2016 03:10,76
04/01/2016 03:15,12
04/01/2016 03:20,28
04/01/2016 03:25,47
04/01/2016 03:30,63
04/01/2016 03:35,21
04/01/2016 03:40,31
04/01/2016 03:45,79
04/01/2016 03:50,42
04/01/2016 03:55,96
04/01/2016 04:00,57
04/01/2016 04:05,2
04/01/2016 04:10,87
04/01/2016 04:15,34
04/01/2016 04:20,87
04/01/2016 04:25,99
04/01/2016 04:30,37
04/01/2016 04:35,100
04/01/2016 04:40,49
04/01/2016 04:45,73
04/01/2016 04:50,76
04/01/2016 04:55,68
04/01/2016 05:00,80
04/01/2016 05:05,35
04/01/2016 05:10,61
04/01/2016 05:15,36
04/01/2016 05:20,50
04/01/2016 05:25,92
04/01/2016 05:30,48
04/01/2016 05:35,31
04/01/2016 05:40,57
04/01/2016 05:45,23
04/01/2016 05:50,65
04/01/2016 05:55,16
04/01/2016 06:00,66
04/01/2016 06:05,27
04/01/2016 06:10,15
04/01/2016 06:15,91
04/01/2016 06:20,98
04/01/2016 06:25,92
04/01/2016 06:30,99
04/01/2016 06:35,37
04/01/2016 06:40,30
04/01/2016 06:45,30
04/01/2016 06:50,0
04/01/2016 06:55,34
04/01/2016 07:00,57
04/01/2016 07:05,32
04/01/2016 07:10,34
04/01/2016 07:15,93
04/01/2016 07:20,40
04/01/2016 07:25,78
04/01/2016 07:30,66
04/01/2016 07:35,93
04/01/2016 07:40,59
04/01/2016 07:45,17
04/01/2016 07:50,65
04/01/2016 07:55,94
04/01/2016 08:00,29
04/01/2016 08:05,20
04/01/2016 08:10,87
04/01/2016 08:15,99
